사업장명,주소,고용형태,하는일,구인신청일,등록일,담당기관,급여,급여형태,기간,자치구
(주)지에스씨넷 서울지점,서울특별시 서초구 강남대로41길 8 5층(서초동),계약직,사무 보조원,20240112,20240112,한국장애인고용공단 서울동부지사,"26,000,000",연봉,2024-01-12~2024-01-26,서초구
슈나이더일렉트릭코리아(주),"서울특별시 마포구 성암로 189 14층 (상암동,중소기업 DMC 타워)",계약직,건물 청소원(클린마스터),20240112,20240112,한국장애인고용공단 전북지사,"1,660,000",월급,2024-01-12~2024-01-26,마포구
삼성생명보험(주),"서울특별시 서초구 서초대로74길 11 (서초동, 삼성전자 서초사옥) (서초동)",계약직,사무 보조원,20240112,20240112,한국장애인고용공단 서울동부지사,"1,240,670",월급,2024-01-12~2024-01-22,서초구
대신증권(주),서울특별시 중구 삼일대로 343 48 (저동1가),계약직,건물 청소원(클린마스터),20240112,20240112,한국장애인고용공단 경기동부지사,"1,050,000",월급,2024-01-12~2024-02-29,중구
(주)씨제이이엔엠,서울특별시 서초구 과천대로 870-13 (방배동),계약직,모니터 요원,20240112,20240112,한국장애인고용공단 서울동부지사,"12,012,000",연봉,2024-01-12~2024-01-19,서초구
롯데컬처웍스(주),서울특별시 송파구 올림픽로 300 (신천동)27층,계약직,건물 청소원(클린마스터),20240111,20240111,한국장애인고용공단 전북지사,"9,860",시급,2024-01-11~2024-01-31,송파구
쿠팡로지스틱스서비스 유한회사,"서울특별시 강남구 광평로 280  (수서동, 로즈데일빌딩)",계약직,물류센터 택배분류원,20240111,20240111,한국장애인고용공단 서울동부지사,"1,230,000",월급,2024-01-11~2024-03-31,강남구
쿠팡로지스틱스서비스 유한회사,"서울특별시 강남구 광평로 280  (수서동, 로즈데일빌딩)",계약직,기타 서비스 단순종사원,20240111,20240111,한국장애인고용공단 서울동부지사,"1,230,000",월급,2024-01-11~2024-03-31,강남구
쿠팡로지스틱스서비스 유한회사,"서울특별시 강남구 광평로 280  (수서동, 로즈데일빌딩)",계약직,사업체 우편물 및 택배물품 관리원,20240111,20240111,한국장애인고용공단 서울동부지사,"1,230,000",월급,2024-01-11~2024-03-31,강남구
삼성화재해상보험(주),서울특별시 서초구 서초대로74길 14 삼성화재해상보험주식회 (서초동),계약직,사무 보조원,20240111,20240111,한국장애인고용공단 서울동부지사,"1,207,800",월급,2024-01-11~2024-01-22,서초구
현대모비스(주),서울특별시 강남구 테헤란로 203 SI타워,계약직,총무 사무보조원,20240111,20240111,한국장애인고용공단 서울동부지사,"1,300,000",월급,2024-01-11~2024-02-02,강남구
쿠팡로지스틱스서비스 유한회사,"서울특별시 강남구 광평로 280  (수서동, 로즈데일빌딩)",계약직,인사 사무원,20240110,20240110,한국장애인고용공단 서울동부지사,"2,100,000",월급,2024-01-10~2024-03-31,강남구
굿윌본부,서울특별시 송파구 새말로10길 19 (문정동),계약직,매장 정리원(매장 보조원),20240110,20240117,한국장애인고용공단 서울동부지사,"9,860",시급,2024-01-10~2024-01-31,송파구
(주)호텔캐피탈,서울특별시 용산구 장문로 23 몬드리안 서울 이태원 (이태원동),계약직,기타 서비스 단순종사원,20240109,20240109,한국장애인고용공단 서울지역본부,"2,250,000",월급,2024-01-09~2024-01-31,용산구
롯데쇼핑(주)롯데슈퍼사업본부,"서울특별시 송파구 올림픽로 269 3층 (신천동, 롯데캐슬골드)",계약직,매장 정리원(매장 보조원),20240109,20240109,한국장애인고용공단 서울동부지사,"9,860",시급,2024-01-09~2024-03-31,송파구
사회복지법인 한국사회복지협의회,서울특별시 마포구 만리재로 14 한국사회복지협의회관 5층 (공덕동),상용직,공공행정 사무원,20240109,20240109,한국장애인고용공단 서울지역본부,"28,000,000",연봉,2024-01-09~2024-01-23,마포구
구립송파노인요양센터,서울특별시 송파구 충민로 184  (장지동),계약직,시설 요양보호사(노인요양사),20240109,20240109,한국장애인고용공단 서울동부지사,"9,860",시급,2024-01-09~2024-02-29,송파구
쿠팡로지스틱스서비스 유한회사,"서울특별시 강남구 광평로 280  (수서동, 로즈데일빌딩)",계약직,사업체 우편물 및 택배물품 관리원,20240109,20240109,한국장애인고용공단 서울동부지사,"2,387,000",월급,2024-01-09~2024-03-31,강남구
주식회사현대백화점신촌점,서울특별시 서대문구 신촌로 83 (창천동) 현대백화점신촌점,계약직,주방 보조원(일반 음식점),20240109,20240109,한국장애인고용공단 서울지역본부,"9,900",시급,2024-01-09~2024-02-28,서대문구
하이디라오코리아（유）,"서울특별시 영등포구 경인로 870 하이디라오코리아(유) (영등포동1가, 제이앤에스빌딩)",계약직,주방정리원,20240108,20240108,한국장애인고용공단 서울동부지사,"9,860",시급,2024-01-08~2024-01-19,영등포구
(주)우리홈쇼핑,서울특별시 영등포구 양평로21길 10 21 (양평동5가),계약직,모니터 요원,20240108,20240108,한국장애인고용공단 서울남부지사,"19,490,000",연봉,2024-01-08~2024-01-21,영등포구
(주)필라넷,서울특별시 강남구 도산대로 164 (논현동) 5층,계약직,바리스타,20240108,20240109,한국장애인고용공단 서울동부지사,"1,050,000",월급,2024-01-08~2024-01-31,강남구
메드렉스병원,서울특별시 강남구 논현로 705 메드렉스병원 지하2층~지상8층  (논현동),상용직,건물 청소원(클린마스터),20240105,20240105,한국장애인고용공단 서울동부지사,"2,090,000",월급,2024-01-05~2024-01-31,강남구
삼성카드,"서울특별시 중구 세종대로 67 (태평로2가,삼성본관빌딩)",계약직,사무 보조원,20240105,20240109,한국장애인고용공단 광주지역본부,"1,203,000",월급,2024-01-05~2024-02-28,중구
