취업일자,연령,장애유형,중증여부,근무지역,취업직종대분류,자치구
2022-04-18,25.0,청각장애,경증,서울 송파구,경영·행정·사무직,송파구
2022-04-18,27.0,뇌병변장애,중증,서울 송파구,경영·행정·사무직,송파구
2022-04-18,28.0,심장장애,중증,서울 송파구,경영·행정·사무직,송파구
2022-10-21,68.0,지체장애,경증,서울 서초구,청소 및 기타 개인서비스직,서초구
2022-05-09,52.0,지체장애,경증,서울 서초구,청소 및 기타 개인서비스직,서초구
2022-01-01,62.0,시각장애,경증,서울 서초구,청소 및 기타 개인서비스직,서초구
2022-03-15,62.0,지체장애,경증,서울 서초구,청소 및 기타 개인서비스직,서초구
2022-03-03,54.0,지적장애,중증,서울 서초구,청소 및 기타 개인서비스직,서초구
2022-03-28,67.0,지체장애,중증,서울 구로구,경영·행정·사무직,구로구
2022-03-28,19.0,지적장애,중증,서울 구로구,경영·행정·사무직,구로구
2022-07-04,63.0,신장장애,중증,서울 구로구,청소 및 기타 개인서비스직,구로구
2022-03-28,62.0,지체장애,경증,서울 구로구,경영·행정·사무직,구로구
2022-01-01,51.0,청각장애,경증,서울 구로구,경영·행정·사무직,구로구
2022-01-01,28.0,지적장애,중증,서울 구로구,경영·행정·사무직,구로구
2022-01-01,65.0,지체장애,경증,서울 구로구,경영·행정·사무직,구로구
2022-01-01,66.0,지체장애,경증,서울 구로구,경영·행정·사무직,구로구
2022-01-01,61.0,지체장애,경증,서울 구로구,경영·행정·사무직,구로구
2022-01-01,42.0,시각장애,경증,서울 구로구,경영·행정·사무직,구로구
2022-01-01,63.0,신장장애,중증,서울 구로구,경영·행정·사무직,구로구
2022-01-01,58.0,지체장애,경증,서울 구로구,경영·행정·사무직,구로구
2022-01-01,69.0,지체장애,경증,서울 구로구,경영·행정·사무직,구로구
2022-01-01,56.0,지체장애,중증,서울 구로구,경영·행정·사무직,구로구
2022-01-01,37.0,심장장애,중증,서울 구로구,경영·행정·사무직,구로구
2022-01-01,73.0,지체장애,경증,서울 구로구,경영·행정·사무직,구로구
2022-01-01,60.0,신장장애,중증,서울 구로구,경영·행정·사무직,구로구
2022-01-01,22.0,지적장애,중증,서울 구로구,경영·행정·사무직,구로구
2022-01-01,62.0,청각장애,경증,서울 구로구,경영·행정·사무직,구로구
2022-01-01,66.0,지체장애,경증,서울 구로구,경영·행정·사무직,구로구
2022-01-01,20.0,지적장애,중증,서울 구로구,경영·행정·사무직,구로구
2022-01-01,56.0,지체장애,경증,서울 구로구,경영·행정·사무직,구로구
2022-01-01,72.0,지체장애,경증,서울 구로구,경영·행정·사무직,구로구
2022-01-01,50.0,지적장애,중증,서울 구로구,경영·행정·사무직,구로구
2022-01-01,64.0,지체장애,경증,서울 구로구,경영·행정·사무직,구로구
2022-01-01,58.0,지체장애,경증,서울 구로구,경영·행정·사무직,구로구
2022-01-01,40.0,지적장애,중증,서울 구로구,경영·행정·사무직,구로구
2022-01-01,51.0,시각장애,경증,서울 구로구,경영·행정·사무직,구로구
2022-01-01,43.0,정신장애,경증,서울 구로구,경영·행정·사무직,구로구
2022-01-01,66.0,뇌병변장애,경증,서울 구로구,경영·행정·사무직,구로구
2022-01-01,30.0,지적장애,중증,서울 구로구,경영·행정·사무직,구로구
2022-01-01,41.0,지적장애,중증,서울 구로구,경영·행정·사무직,구로구
2022-01-01,24.0,지체장애,중증,서울 구로구,경영·행정·사무직,구로구
2022-01-01,24.0,뇌병변장애,중증,서울 구로구,경영·행정·사무직,구로구
2022-01-01,69.0,지체장애,경증,서울 구로구,경영·행정·사무직,구로구
2022-01-01,69.0,뇌병변장애,경증,서울 구로구,경영·행정·사무직,구로구
2022-01-01,66.0,지체장애,경증,서울 구로구,경영·행정·사무직,구로구
2022-01-01,31.0,자폐성장애,중증,서울 구로구,경영·행정·사무직,구로구
2022-01-01,48.0,지적장애,중증,서울 구로구,경영·행정·사무직,구로구
2022-01-01,59.0,뇌병변장애,중증,서울 구로구,경영·행정·사무직,구로구
2022-01-01,72.0,언어장애,중증,서울 구로구,경영·행정·사무직,구로구
2022-01-01,41.0,뇌병변장애,경증,서울 구로구,경영·행정·사무직,구로구
2022-01-01,55.0,지체장애,중증,서울 구로구,경영·행정·사무직,구로구
2022-01-01,31.0,지적장애,중증,서울 구로구,경영·행정·사무직,구로구
2022-01-01,56.0,지체장애,경증,서울 구로구,경영·행정·사무직,구로구
2022-01-01,68.0,지체장애,경증,서울 구로구,경영·행정·사무직,구로구
2022-01-01,52.0,지체장애,경증,서울 구로구,경영·행정·사무직,구로구
2022-01-01,64.0,지체장애,경증,서울 구로구,경영·행정·사무직,구로구
2022-01-01,62.0,지체장애,중증,서울 구로구,경영·행정·사무직,구로구
2022-01-01,37.0,지체장애,중증,서울 구로구,경영·행정·사무직,구로구
2022-01-01,60.0,지체장애,경증,서울 구로구,경영·행정·사무직,구로구
2022-01-01,68.0,지체장애,경증,서울 구로구,경영·행정·사무직,구로구
2022-01-01,70.0,지체장애,경증,서울 구로구,경영·행정·사무직,구로구
2022-01-01,64.0,지체장애,경증,서울 구로구,경영·행정·사무직,구로구
2022-01-01,47.0,청각장애,중증,서울 구로구,경영·행정·사무직,구로구
2022-01-01,42.0,지체장애,중증,서울 구로구,경영·행정·사무직,구로구
2022-01-01,58.0,뇌병변장애,경증,서울 구로구,경영·행정·사무직,구로구
2022-01-01,43.0,지적장애,중증,서울 구로구,경영·행정·사무직,구로구
2022-02-04,53.0,청각장애,중증,서울 구로구,경영·행정·사무직,구로구
2022-02-01,62.0,지체장애,중증,서울 구로구,경영·행정·사무직,구로구
2022-01-24,53.0,지체장애,중증,서울 구로구,경영·행정·사무직,구로구
2022-01-27,63.0,시각장애,중증,서울 구로구,경영·행정·사무직,구로구
2022-10-01,61.0,신장장애,중증,서울 금천구,경영·행정·사무직,금천구
2022-01-01,72.0,시각장애,경증,서울 금천구,경영·행정·사무직,금천구
2022-01-01,78.0,지체장애,경증,서울 금천구,경영·행정·사무직,금천구
2022-01-01,42.0,뇌병변장애,중증,서울 금천구,경영·행정·사무직,금천구
2022-01-01,64.0,뇌병변장애,경증,서울 금천구,경영·행정·사무직,금천구
2022-01-01,75.0,시각장애,중증,서울 금천구,경영·행정·사무직,금천구
2022-01-01,63.0,신장장애,중증,서울 금천구,경영·행정·사무직,금천구
2022-01-01,52.0,지체장애,경증,서울 금천구,경영·행정·사무직,금천구
2022-01-01,62.0,시각장애,경증,서울 금천구,경영·행정·사무직,금천구
2022-01-01,22.0,지적장애,중증,서울 금천구,경영·행정·사무직,금천구
2022-01-01,68.0,신장장애,중증,서울 금천구,경영·행정·사무직,금천구
2022-01-01,72.0,지체장애,경증,서울 금천구,경영·행정·사무직,금천구
2022-01-01,80.0,청각장애,경증,서울 금천구,경영·행정·사무직,금천구
2022-01-01,64.0,지체장애,경증,서울 금천구,경영·행정·사무직,금천구
2022-01-01,80.0,시각장애,경증,서울 금천구,경영·행정·사무직,금천구
2022-01-01,62.0,뇌병변장애,중증,서울 금천구,경영·행정·사무직,금천구
2022-01-01,48.0,지체장애,경증,서울 금천구,경영·행정·사무직,금천구
2022-01-01,29.0,뇌병변장애,경증,서울 금천구,경영·행정·사무직,금천구
2022-01-01,72.0,지체장애,중증,서울 금천구,경영·행정·사무직,금천구
2022-01-01,31.0,신장장애,경증,서울 금천구,청소 및 기타 개인서비스직,금천구
2022-01-01,51.0,지체장애,경증,서울 금천구,경영·행정·사무직,금천구
2022-01-01,48.0,뇌전증장애,중증,서울 금천구,경영·행정·사무직,금천구
2022-01-01,61.0,지체장애,경증,서울 금천구,경영·행정·사무직,금천구
2022-01-01,67.0,지체장애,중증,서울 금천구,경영·행정·사무직,금천구
2022-01-01,82.0,신장장애,중증,서울 금천구,경영·행정·사무직,금천구
2022-01-01,76.0,청각장애,경증,서울 금천구,경영·행정·사무직,금천구
2022-01-01,72.0,지체장애,경증,서울 금천구,경영·행정·사무직,금천구
2022-01-01,74.0,청각장애,경증,서울 금천구,경영·행정·사무직,금천구
2022-01-01,67.0,신장장애,경증,서울 금천구,경영·행정·사무직,금천구
2022-01-01,77.0,지체장애,경증,서울 금천구,경영·행정·사무직,금천구
2022-01-01,57.0,시각장애,경증,서울 금천구,경영·행정·사무직,금천구
2022-01-01,74.0,청각장애,경증,서울 금천구,경영·행정·사무직,금천구
2022-01-01,32.0,청각장애,중증,서울 금천구,경영·행정·사무직,금천구
2022-01-01,62.0,지체장애,경증,서울 금천구,경영·행정·사무직,금천구
2022-01-01,66.0,지체장애,경증,서울 금천구,경영·행정·사무직,금천구
2022-01-01,27.0,지체장애,중증,서울 금천구,경영·행정·사무직,금천구
2022-01-01,68.0,지체장애,경증,서울 금천구,경영·행정·사무직,금천구
2022-01-01,69.0,청각장애,경증,서울 금천구,경영·행정·사무직,금천구
2022-01-01,45.0,지체장애,경증,서울 금천구,경영·행정·사무직,금천구
2022-01-01,54.0,시각장애,경증,서울 금천구,경영·행정·사무직,금천구
2022-01-01,44.0,청각장애,경증,서울 금천구,경영·행정·사무직,금천구
2022-01-01,74.0,지체장애,경증,서울 금천구,경영·행정·사무직,금천구
2022-01-01,63.0,지체장애,경증,서울 금천구,경영·행정·사무직,금천구
2022-01-01,62.0,지체장애,경증,서울 금천구,경영·행정·사무직,금천구
2022-01-01,33.0,지적장애,중증,서울 금천구,경영·행정·사무직,금천구
2022-01-01,28.0,지적장애,중증,서울 금천구,경영·행정·사무직,금천구
2022-01-01,44.0,지체장애,경증,서울 금천구,경영·행정·사무직,금천구
2022-01-01,48.0,지체장애,경증,서울 금천구,경영·행정·사무직,금천구
2022-01-01,75.0,지체장애,경증,서울 금천구,경영·행정·사무직,금천구
2022-01-01,63.0,지체장애,경증,서울 금천구,경영·행정·사무직,금천구
2022-01-01,21.0,지적장애,중증,서울 금천구,경영·행정·사무직,금천구
2022-01-01,69.0,지체장애,경증,서울 금천구,경영·행정·사무직,금천구
2022-01-01,59.0,지체장애,경증,서울 금천구,경영·행정·사무직,금천구
2022-01-01,68.0,지체장애,경증,서울 금천구,경영·행정·사무직,금천구
2022-01-01,80.0,시각장애,경증,서울 금천구,경영·행정·사무직,금천구
2022-01-01,68.0,지체장애,경증,서울 금천구,경영·행정·사무직,금천구
2022-01-01,59.0,지적장애,중증,서울 금천구,경영·행정·사무직,금천구
