,FRIN_CG,sigungu_name,emd_name
0,85.16,종로구,사직동
1,45.41,종로구,삼청동
2,27.78,종로구,부암동
3,69.59,종로구,평창동
4,53.07,종로구,무악동
5,72.2,종로구,교남동
6,51.56,종로구,가회동
7,67.49,종로구,종로1·2·3·4가동
8,75.34,종로구,종로5·6가동
9,41.87,종로구,이화동
10,93.89,종로구,창신제1동
11,28.57,종로구,창신제3동
12,75.4,종로구,숭인제1동
13,88.51,종로구,숭인제2동
14,40.31,종로구,청운효자동
15,49.16,종로구,혜화동
16,45.43,중구,소공동
17,41.36,중구,회현동
18,46.08,중구,명동
19,24.89,중구,필동
20,37.64,중구,장충동
21,46.02,중구,광희동
22,47.64,중구,을지로동
23,51.71,중구,신당제5동
24,64.86,중구,황학동
25,53.76,중구,중림동
26,57.45,중구,신당동
27,28.44,중구,다산동
28,54.73,중구,약수동
29,58.91,중구,청구동
30,60.15,중구,동화동
31,55.2,용산구,후암동
32,30.88,용산구,용산2가동
33,40.7,용산구,남영동
34,70.39,용산구,원효로2동
35,53.04,용산구,효창동
36,72.84,용산구,용문동
37,78.14,용산구,이촌1동
38,65.88,용산구,이촌2동
39,49.67,용산구,이태원1동
40,26.04,용산구,이태원2동
41,56.72,용산구,서빙고동
42,57.58,용산구,보광동
43,40.79,용산구,청파동
44,45.97,용산구,원효로1동
45,44.81,용산구,한강로동
46,33.26,용산구,한남동
47,44.01,성동구,왕십리2동
48,49.23,성동구,마장동
49,37.05,성동구,사근동
50,40.7,성동구,행당1동
51,48.52,성동구,행당2동
52,37.54,성동구,응봉동
53,51.98,성동구,금호1가동
54,51.33,성동구,금호4가동
55,56.51,성동구,성수1가1동
56,56.88,성동구,성수1가2동
57,77.82,성동구,성수2가1동
58,67.74,성동구,성수2가3동
59,59.63,성동구,송정동
60,34.6,성동구,용답동
61,61.0,성동구,왕십리도선동
62,57.58,성동구,금호2·3가동
63,57.95,성동구,옥수동
64,74.68,광진구,화양동
65,81.0,광진구,군자동
66,78.37,광진구,중곡1동
67,87.53,광진구,중곡2동
68,87.5,광진구,중곡3동
69,69.77,광진구,중곡4동
70,48.21,광진구,능동
71,90.13,광진구,구의1동
72,79.96,광진구,구의2동
73,50.43,광진구,구의3동
74,70.39,광진구,광장동
75,67.22,광진구,자양1동
76,65.6,광진구,자양2동
77,66.82,광진구,자양3동
78,82.13,광진구,자양4동
79,70.58,동대문구,회기동
80,89.13,동대문구,휘경1동
81,54.19,동대문구,휘경2동
82,59.98,동대문구,청량리동
83,63.69,동대문구,용신동
84,60.86,동대문구,제기동
85,63.16,동대문구,전농1동
86,35.1,동대문구,전농2동
87,48.07,동대문구,답십리2동
88,37.34,동대문구,장안1동
89,39.51,동대문구,장안2동
90,56.81,동대문구,이문1동
91,43.0,동대문구,이문2동
92,48.47,동대문구,답십리1동
93,68.96,중랑구,면목2동
94,71.88,중랑구,면목4동
95,63.33,중랑구,면목5동
96,23.62,중랑구,면목7동
97,51.89,중랑구,상봉1동
98,87.15,중랑구,상봉2동
99,92.7,중랑구,중화1동
100,82.0,중랑구,중화2동
101,74.1,중랑구,묵1동
102,63.61,중랑구,묵2동
103,65.6,중랑구,망우제3동
104,65.62,중랑구,신내1동
105,48.33,중랑구,신내2동
106,65.06,중랑구,면목본동
107,49.06,중랑구,면목3·8동
108,66.7,중랑구,망우본동
109,66.17,성북구,돈암1동
110,42.54,성북구,돈암2동
111,47.03,성북구,안암동
112,49.56,성북구,보문동
113,44.21,성북구,정릉1동
114,53.32,성북구,정릉2동
115,79.02,성북구,정릉3동
116,56.59,성북구,정릉4동
117,56.02,성북구,길음1동
118,80.92,성북구,길음2동
119,55.77,성북구,월곡1동
120,74.99,성북구,월곡2동
121,66.67,성북구,장위1동
122,70.46,성북구,장위2동
123,48.39,성북구,장위3동
124,44.58,성북구,성북동
125,60.02,성북구,삼선동
126,52.63,성북구,동선동
127,54.77,성북구,종암동
128,71.85,성북구,석관동
129,57.36,강북구,번1동
130,39.43,강북구,번2동
131,37.12,강북구,번3동
132,35.96,강북구,수유1동
133,54.24,강북구,수유2동
134,66.57,강북구,수유3동
135,50.93,강북구,삼양동
136,41.78,강북구,미아동
137,50.65,강북구,송중동
138,64.49,강북구,송천동
139,55.73,강북구,삼각산동
140,40.12,강북구,우이동
141,69.06,강북구,인수동
142,39.32,도봉구,쌍문1동
143,60.55,도봉구,쌍문2동
144,58.32,도봉구,쌍문3동
145,62.44,도봉구,쌍문4동
146,50.68,도봉구,방학1동
147,70.24,도봉구,방학2동
148,48.61,도봉구,방학3동
149,42.23,도봉구,창1동
150,61.58,도봉구,창2동
151,69.33,도봉구,창3동
152,57.62,도봉구,창4동
153,49.6,도봉구,창5동
154,37.35,도봉구,도봉1동
155,39.81,도봉구,도봉2동
156,54.29,노원구,월계1동
157,55.26,노원구,월계2동
158,55.39,노원구,월계3동
159,33.04,노원구,공릉2동
160,37.91,노원구,하계1동
161,80.92,노원구,하계2동
162,55.58,노원구,중계본동
163,44.25,노원구,중계1동
164,52.08,노원구,중계4동
165,83.18,노원구,상계1동
166,50.69,노원구,상계2동
167,58.89,노원구,상계5동
168,71.03,노원구,상계8동
169,85.04,노원구,상계9동
170,70.06,노원구,상계10동
171,52.37,노원구,상계3·4동
172,77.21,노원구,상계6·7동
173,66.12,노원구,중계2·3동
174,71.46,노원구,공릉1동
175,38.13,은평구,녹번동
176,47.29,은평구,불광1동
177,93.25,은평구,갈현1동
178,64.41,은평구,갈현2동
179,63.38,은평구,구산동
180,58.68,은평구,대조동
181,44.73,은평구,응암1동
182,57.8,은평구,응암2동
183,69.14,은평구,신사1동
184,69.09,은평구,신사2동
185,91.3,은평구,증산동
186,39.75,은평구,수색동
187,74.57,은평구,진관동
188,76.66,은평구,불광2동
189,54.86,은평구,응암3동
190,74.05,은평구,역촌동
191,71.2,서대문구,천연동
192,58.95,서대문구,홍제1동
193,79.83,서대문구,홍제3동
194,39.05,서대문구,홍제2동
195,51.56,서대문구,홍은1동
196,71.73,서대문구,홍은2동
197,42.73,서대문구,남가좌1동
198,67.16,서대문구,남가좌2동
199,35.03,서대문구,북가좌1동
200,66.92,서대문구,북가좌2동
201,74.87,서대문구,충현동
202,94.47,서대문구,북아현동
203,91.64,서대문구,신촌동
204,74.72,서대문구,연희동
205,86.78,마포구,용강동
206,61.04,마포구,대흥동
207,70.81,마포구,염리동
208,63.32,마포구,신수동
209,79.53,마포구,서교동
210,83.24,마포구,합정동
211,78.83,마포구,망원1동
212,90.32,마포구,망원2동
213,64.99,마포구,연남동
214,67.02,마포구,성산1동
215,65.68,마포구,성산2동
216,52.22,마포구,상암동
217,91.96,마포구,도화동
218,53.99,마포구,서강동
219,68.19,마포구,공덕동
220,86.91,마포구,아현동
221,29.18,양천구,목1동
222,63.17,양천구,목2동
223,54.19,양천구,목3동
224,51.41,양천구,목4동
225,47.16,양천구,신월1동
226,31.42,양천구,신월2동
227,38.38,양천구,신월3동
228,23.3,양천구,신월4동
229,39.26,양천구,신월5동
230,37.69,양천구,신월6동
231,66.94,양천구,신월7동
232,53.28,양천구,신정1동
233,40.91,양천구,신정2동
234,36.44,양천구,신정3동
235,34.1,양천구,신정6동
236,51.77,양천구,신정7동
237,28.52,양천구,목5동
238,33.54,양천구,신정4동
239,66.86,강서구,염창동
240,69.37,강서구,등촌1동
241,99.85,강서구,등촌2동
