순번,취업일자,연령,장애유형,중증여부,근무지역,취업직종대분류
1,2022-06-01,26,정신장애,중증,경기 용인시,경영·행정·사무직
2,2022-01-01,28,지적장애,중증,충북 영동군,경영·행정·사무직
3,2022-01-01,19,지적장애,중증,충북 영동군,경영·행정·사무직
4,2022-01-01,22,지적장애,중증,충북 영동군,경영·행정·사무직
5,2022-01-01,23,지적장애,중증,충북 영동군,경영·행정·사무직
6,2022-01-01,64,지체장애,경증,충북 영동군,경영·행정·사무직
7,2022-01-01,35,뇌병변장애,중증,충북 영동군,경영·행정·사무직
8,2022-01-01,24,지적장애,중증,충북 영동군,경영·행정·사무직
9,2022-01-01,46,뇌병변장애,중증,충북 영동군,경영·행정·사무직
10,2022-01-01,61,지체장애,경증,충북 영동군,경영·행정·사무직
11,2022-01-01,62,지체장애,경증,충북 영동군,경영·행정·사무직
12,2022-01-01,38,지체장애,중증,충북 영동군,경영·행정·사무직
13,2022-01-01,55,지체장애,중증,충북 영동군,경영·행정·사무직
14,2022-12-14,53,뇌전증장애,경증,충북 충주시,청소 및 기타 개인서비스직
15,2022-05-25,55,정신장애,중증,충북 충주시,청소 및 기타 개인서비스직
16,2022-05-23,22,지적장애,중증,충북 충주시,청소 및 기타 개인서비스직
17,2022-01-01,80,지체장애,중증,충북 충주시,청소 및 기타 개인서비스직
18,2022-01-01,66,지적장애,중증,충북 충주시,청소 및 기타 개인서비스직
19,2022-01-01,27,지적장애,중증,충북 충주시,청소 및 기타 개인서비스직
20,2022-01-01,24,지적장애,중증,충북 충주시,청소 및 기타 개인서비스직
21,2022-01-01,22,지적장애,중증,충북 충주시,청소 및 기타 개인서비스직
22,2022-01-01,45,지적장애,중증,충북 충주시,청소 및 기타 개인서비스직
23,2022-01-01,26,지적장애,중증,충북 충주시,청소 및 기타 개인서비스직
24,2022-01-01,78,청각장애,경증,충북 충주시,청소 및 기타 개인서비스직
25,2022-01-01,83,시각장애,경증,충북 충주시,청소 및 기타 개인서비스직
26,2022-01-01,77,뇌병변장애,경증,충북 충주시,청소 및 기타 개인서비스직
27,2022-01-01,84,청각장애,경증,충북 충주시,청소 및 기타 개인서비스직
28,2022-01-01,76,청각장애,경증,충북 충주시,청소 및 기타 개인서비스직
29,2022-01-01,83,지체장애,경증,충북 충주시,청소 및 기타 개인서비스직
30,2022-01-01,82,지체장애,경증,충북 충주시,청소 및 기타 개인서비스직
31,2022-01-01,78,간장애,경증,충북 충주시,청소 및 기타 개인서비스직
32,2022-01-01,78,뇌병변장애,경증,충북 충주시,청소 및 기타 개인서비스직
33,2022-01-01,23,지적장애,중증,충북 충주시,청소 및 기타 개인서비스직
34,2022-01-01,51,시각장애,중증,충북 충주시,청소 및 기타 개인서비스직
35,2022-01-01,27,지적장애,중증,충북 충주시,청소 및 기타 개인서비스직
36,2022-01-01,24,지적장애,중증,충북 충주시,돌봄 서비스직(간병·육아)
37,2022-01-01,79,지체장애,경증,충북 충주시,청소 및 기타 개인서비스직
38,2022-01-01,58,지체장애,경증,충북 충주시,청소 및 기타 개인서비스직
39,2022-01-01,77,지체장애,경증,충북 충주시,청소 및 기타 개인서비스직
40,2022-01-01,76,청각장애,경증,충북 충주시,청소 및 기타 개인서비스직
41,2022-01-01,66,지체장애,경증,충북 충주시,청소 및 기타 개인서비스직
42,2022-01-01,64,뇌병변장애,중증,충북 충주시,청소 및 기타 개인서비스직
43,2022-01-01,25,지적장애,중증,충북 충주시,청소 및 기타 개인서비스직
44,2022-01-01,31,지적장애,중증,충북 충주시,돌봄 서비스직(간병·육아)
45,2022-01-01,70,시각장애,중증,충북 충주시,청소 및 기타 개인서비스직
46,2022-01-01,54,지적장애,중증,충북 충주시,청소 및 기타 개인서비스직
47,2022-01-01,68,지체장애,경증,충북 충주시,청소 및 기타 개인서비스직
48,2022-01-01,78,지체장애,경증,충북 충주시,청소 및 기타 개인서비스직
49,2022-01-01,65,언어장애,경증,충북 충주시,청소 및 기타 개인서비스직
50,2022-01-01,81,청각장애,경증,충북 충주시,청소 및 기타 개인서비스직
51,2022-01-01,79,지체장애,경증,충북 충주시,청소 및 기타 개인서비스직
52,2022-01-01,79,청각장애,경증,충북 충주시,청소 및 기타 개인서비스직
53,2022-01-01,47,지적장애,중증,충북 충주시,청소 및 기타 개인서비스직
54,2022-01-01,73,지체장애,경증,충북 충주시,청소 및 기타 개인서비스직
55,2022-01-01,22,지적장애,중증,충북 충주시,돌봄 서비스직(간병·육아)
56,2022-01-01,27,정신장애,중증,충북 충주시,청소 및 기타 개인서비스직
57,2022-01-01,49,지적장애,중증,충북 충주시,돌봄 서비스직(간병·육아)
58,2022-01-01,70,지체장애,경증,충북 충주시,청소 및 기타 개인서비스직
59,2022-01-01,79,지체장애,경증,충북 충주시,청소 및 기타 개인서비스직
60,2022-01-01,79,지체장애,경증,충북 충주시,청소 및 기타 개인서비스직
61,2022-01-01,70,지체장애,경증,충북 충주시,청소 및 기타 개인서비스직
62,2022-01-01,63,신장장애,중증,충북 충주시,청소 및 기타 개인서비스직
63,2022-01-01,29,시각장애,중증,충북 충주시,청소 및 기타 개인서비스직
64,2022-01-01,24,청각장애,중증,충북 충주시,청소 및 기타 개인서비스직
65,2022-01-01,65,지체장애,경증,충북 충주시,청소 및 기타 개인서비스직
66,2022-01-01,45,뇌병변장애,중증,충북 충주시,청소 및 기타 개인서비스직
67,2022-01-01,74,지체장애,경증,충북 충주시,청소 및 기타 개인서비스직
68,2022-01-01,66,지체장애,경증,충북 충주시,청소 및 기타 개인서비스직
69,2022-01-01,47,신장장애,중증,충북 충주시,청소 및 기타 개인서비스직
70,2022-01-01,67,청각장애,중증,충북 충주시,청소 및 기타 개인서비스직
71,2022-01-01,30,뇌병변장애,중증,충북 충주시,청소 및 기타 개인서비스직
72,2022-01-01,26,자폐성장애,중증,충북 충주시,돌봄 서비스직(간병·육아)
73,2022-01-01,40,정신장애,중증,충북 충주시,청소 및 기타 개인서비스직
74,2022-01-01,26,지적장애,중증,충북 충주시,청소 및 기타 개인서비스직
75,2022-01-01,23,지적장애,중증,충북 충주시,돌봄 서비스직(간병·육아)
76,2022-01-01,73,청각장애,경증,충북 충주시,청소 및 기타 개인서비스직
77,2022-01-01,79,시각장애,경증,충북 충주시,청소 및 기타 개인서비스직
78,2022-01-01,77,지체장애,중증,충북 충주시,청소 및 기타 개인서비스직
79,2022-01-01,40,지적장애,중증,충북 충주시,돌봄 서비스직(간병·육아)
80,2022-01-01,32,지적장애,중증,충북 충주시,청소 및 기타 개인서비스직
81,2022-01-01,62,지체장애,경증,충북 충주시,청소 및 기타 개인서비스직
82,2022-01-01,55,정신장애,중증,충북 충주시,청소 및 기타 개인서비스직
83,2022-01-01,21,지적장애,중증,충북 충주시,청소 및 기타 개인서비스직
84,2022-01-01,75,지체장애,경증,충북 충주시,청소 및 기타 개인서비스직
85,2022-01-01,31,지적장애,중증,충북 충주시,돌봄 서비스직(간병·육아)
86,2022-01-01,75,지체장애,경증,충북 충주시,청소 및 기타 개인서비스직
87,2022-01-01,68,지체장애,경증,충북 충주시,청소 및 기타 개인서비스직
88,2022-01-01,70,뇌병변장애,경증,충북 충주시,청소 및 기타 개인서비스직
89,2022-01-01,83,뇌병변장애,경증,충북 충주시,청소 및 기타 개인서비스직
90,2022-01-01,73,지체장애,경증,충북 충주시,청소 및 기타 개인서비스직
91,2022-01-01,59,시각장애,경증,충북 충주시,청소 및 기타 개인서비스직
92,2022-01-01,42,지체장애,중증,충북 충주시,청소 및 기타 개인서비스직
93,2022-01-01,57,정신장애,중증,충북 충주시,청소 및 기타 개인서비스직
94,2022-01-01,27,지적장애,중증,충북 충주시,청소 및 기타 개인서비스직
95,2022-01-01,84,지체장애,경증,충북 충주시,청소 및 기타 개인서비스직
96,2022-01-01,60,뇌병변장애,중증,충북 충주시,청소 및 기타 개인서비스직
97,2022-01-01,22,지적장애,중증,충북 충주시,청소 및 기타 개인서비스직
98,2022-01-01,28,지적장애,중증,충북 충주시,돌봄 서비스직(간병·육아)
99,2022-01-01,63,정신장애,중증,충북 충주시,청소 및 기타 개인서비스직
100,2022-01-01,46,지적장애,중증,충북 충주시,청소 및 기타 개인서비스직
101,2022-01-01,42,지체장애,중증,충북 충주시,청소 및 기타 개인서비스직
102,2022-01-01,48,지적장애,중증,충북 충주시,청소 및 기타 개인서비스직
103,2022-01-01,57,지적장애,중증,충북 충주시,돌봄 서비스직(간병·육아)
104,2022-01-01,29,지적장애,중증,충북 충주시,청소 및 기타 개인서비스직
105,2022-01-01,45,지적장애,중증,충북 충주시,청소 및 기타 개인서비스직
106,2022-01-01,65,신장장애,중증,충북 충주시,청소 및 기타 개인서비스직
107,2022-01-01,73,지체장애,경증,충북 충주시,청소 및 기타 개인서비스직
108,2022-01-01,54,지적장애,중증,충북 충주시,청소 및 기타 개인서비스직
109,2022-01-01,25,지적장애,중증,충북 충주시,청소 및 기타 개인서비스직
110,2022-01-01,34,지적장애,중증,충북 충주시,청소 및 기타 개인서비스직
111,2022-01-01,76,시각장애,경증,충북 충주시,청소 및 기타 개인서비스직
112,2022-01-01,78,청각장애,경증,충북 충주시,청소 및 기타 개인서비스직
113,2022-01-01,75,지체장애,경증,충북 충주시,청소 및 기타 개인서비스직
114,2022-01-01,55,지적장애,중증,충북 충주시,청소 및 기타 개인서비스직
115,2022-01-01,55,시각장애,경증,충북 충주시,청소 및 기타 개인서비스직
116,2022-01-01,77,시각장애,경증,충북 충주시,청소 및 기타 개인서비스직
117,2022-01-01,77,지체장애,경증,충북 충주시,청소 및 기타 개인서비스직
118,2022-01-01,77,시각장애,경증,충북 충주시,청소 및 기타 개인서비스직
119,2022-01-01,61,신장장애,중증,충북 충주시,청소 및 기타 개인서비스직
120,2022-01-01,75,청각장애,경증,충북 충주시,청소 및 기타 개인서비스직
121,2022-01-01,64,청각장애,경증,충북 충주시,청소 및 기타 개인서비스직
122,2022-01-01,78,청각장애,경증,충북 충주시,청소 및 기타 개인서비스직
123,2022-01-01,40,지적장애,중증,충북 충주시,청소 및 기타 개인서비스직
124,2022-01-01,24,지적장애,중증,충북 충주시,돌봄 서비스직(간병·육아)
125,2022-01-01,62,지체장애,중증,충북 충주시,청소 및 기타 개인서비스직
126,2022-01-01,68,지체장애,경증,충북 충주시,청소 및 기타 개인서비스직
127,2022-01-01,63,뇌병변장애,경증,충북 충주시,청소 및 기타 개인서비스직
128,2022-01-01,79,지체장애,경증,충북 충주시,청소 및 기타 개인서비스직
129,2022-01-01,82,청각장애,경증,충북 충주시,청소 및 기타 개인서비스직
130,2022-01-01,46,지적장애,중증,충북 충주시,청소 및 기타 개인서비스직
131,2022-01-01,74,지체장애,중증,충북 충주시,청소 및 기타 개인서비스직
132,2022-01-01,21,지적장애,중증,충북 충주시,청소 및 기타 개인서비스직
133,2022-01-01,73,청각장애,경증,충북 충주시,청소 및 기타 개인서비스직
134,2022-01-01,79,청각장애,경증,충북 충주시,청소 및 기타 개인서비스직
135,2022-01-01,61,지체장애,경증,충북 충주시,청소 및 기타 개인서비스직
136,2022-01-01,52,정신장애,중증,충북 충주시,청소 및 기타 개인서비스직
137,2022-01-01,74,지체장애,경증,충북 충주시,청소 및 기타 개인서비스직
138,2022-01-01,32,정신장애,중증,충북 충주시,청소 및 기타 개인서비스직
139,2022-01-01,48,지적장애,중증,충북 충주시,청소 및 기타 개인서비스직
140,2022-01-01,48,지적장애,중증,충북 충주시,청소 및 기타 개인서비스직
141,2022-01-01,59,지적장애,중증,충북 충주시,청소 및 기타 개인서비스직
142,2022-01-01,55,정신장애,중증,충북 충주시,청소 및 기타 개인서비스직
143,2022-01-01,67,지체장애,중증,충북 충주시,청소 및 기타 개인서비스직
144,2022-01-01,26,지적장애,중증,충북 충주시,돌봄 서비스직(간병·육아)
145,2022-01-01,74,지체장애,경증,충북 충주시,청소 및 기타 개인서비스직
146,2022-01-01,70,정신장애,중증,충북 충주시,청소 및 기타 개인서비스직
147,2022-01-01,79,지체장애,경증,충북 충주시,청소 및 기타 개인서비스직
148,2022-01-01,72,지체장애,경증,충북 충주시,청소 및 기타 개인서비스직
149,2022-01-01,50,지적장애,중증,충북 충주시,청소 및 기타 개인서비스직
