sido_code,sigungu_code,emd_code,week_type,FRIN_CG
11000,11010,1101053,weekday,85.16
11000,11010,1101054,weekday,45.41
11000,11010,1101055,weekday,27.78
11000,11010,1101056,weekday,69.59
11000,11010,1101057,weekday,53.07
11000,11010,1101058,weekday,72.2
11000,11010,1101060,weekday,51.56
11000,11010,1101061,weekday,67.49
11000,11010,1101063,weekday,75.34
11000,11010,1101064,weekday,41.87
11000,11010,1101067,weekday,93.89
11000,11010,1101069,weekday,28.57
11000,11010,1101070,weekday,75.4
11000,11010,1101071,weekday,88.51
11000,11010,1101072,weekday,40.31
11000,11010,1101073,weekday,49.16
11000,11020,1102052,weekday,45.43
11000,11020,1102054,weekday,41.36
11000,11020,1102055,weekday,46.08
11000,11020,1102057,weekday,24.89
11000,11020,1102058,weekday,37.64
11000,11020,1102059,weekday,46.02
11000,11020,1102060,weekday,47.64
11000,11020,1102065,weekday,51.71
11000,11020,1102067,weekday,64.86
11000,11020,1102068,weekday,53.76
11000,11020,1102069,weekday,57.45
11000,11020,1102070,weekday,28.44
11000,11020,1102071,weekday,54.73
11000,11020,1102072,weekday,58.91
11000,11020,1102073,weekday,60.15
11000,11030,1103051,weekday,55.2
11000,11030,1103052,weekday,30.88
11000,11030,1103053,weekday,40.7
11000,11030,1103057,weekday,70.39
11000,11030,1103058,weekday,53.04
11000,11030,1103059,weekday,72.84
11000,11030,1103063,weekday,78.14
11000,11030,1103064,weekday,65.88
11000,11030,1103065,weekday,49.67
11000,11030,1103066,weekday,26.04
11000,11030,1103069,weekday,56.72
11000,11030,1103070,weekday,57.58
11000,11030,1103071,weekday,40.79
11000,11030,1103072,weekday,45.97
11000,11030,1103073,weekday,44.81
11000,11030,1103074,weekday,33.26
11000,11040,1104052,weekday,44.01
11000,11040,1104054,weekday,49.23
11000,11040,1104055,weekday,37.05
11000,11040,1104056,weekday,40.7
11000,11040,1104057,weekday,48.52
11000,11040,1104058,weekday,37.54
11000,11040,1104059,weekday,51.98
11000,11040,1104062,weekday,51.33
11000,11040,1104065,weekday,56.51
11000,11040,1104066,weekday,56.88
11000,11040,1104067,weekday,77.82
11000,11040,1104068,weekday,67.74
11000,11040,1104069,weekday,59.63
11000,11040,1104070,weekday,34.6
11000,11040,1104071,weekday,61
11000,11040,1104072,weekday,57.58
11000,11040,1104073,weekday,57.95
11000,11050,1105053,weekday,74.68
11000,11050,1105054,weekday,81
11000,11050,1105055,weekday,78.37
11000,11050,1105056,weekday,87.53
11000,11050,1105057,weekday,87.5
11000,11050,1105058,weekday,69.77
11000,11050,1105059,weekday,48.21
11000,11050,1105060,weekday,90.13
11000,11050,1105061,weekday,79.96
11000,11050,1105062,weekday,50.43
11000,11050,1105063,weekday,70.39
11000,11050,1105064,weekday,67.22
11000,11050,1105065,weekday,65.6
11000,11050,1105066,weekday,66.82
11000,11050,1105067,weekday,82.13
11000,11060,1106071,weekday,70.58
11000,11060,1106072,weekday,89.13
11000,11060,1106073,weekday,54.19
11000,11060,1106080,weekday,59.98
11000,11060,1106081,weekday,63.69
11000,11060,1106082,weekday,60.86
11000,11060,1106083,weekday,63.16
11000,11060,1106084,weekday,35.1
11000,11060,1106086,weekday,48.07
11000,11060,1106087,weekday,37.34
11000,11060,1106088,weekday,39.51
11000,11060,1106089,weekday,56.81
11000,11060,1106090,weekday,43
11000,11060,1106091,weekday,48.47
11000,11070,1107052,weekday,68.96
11000,11070,1107054,weekday,71.88
11000,11070,1107055,weekday,63.33
11000,11070,1107057,weekday,23.62
11000,11070,1107059,weekday,51.89
11000,11070,1107060,weekday,87.15
11000,11070,1107061,weekday,92.7
11000,11070,1107062,weekday,82
11000,11070,1107064,weekday,74.1
11000,11070,1107065,weekday,63.61
11000,11070,1107068,weekday,65.6
11000,11070,1107069,weekday,65.62
11000,11070,1107070,weekday,48.33
