,상권명,자치구,주요도로망 Level5.5 네트워크 기준 인근 도로수,각 링크별 혼잡빈도강도 중 최솟값,각 링크별 혼잡빈도강도 중 최댓값,각 링크별 혼잡빈도강도의 평균값
0,공덕역_1,마포구,24,13,100,64.8
1,공덕역_2,마포구,12,13,100,53.5
2,디지털미디어시티,마포구,20,17,75,38.3
3,마포역_1,마포구,30,13,100,71.9
4,마포역_2,마포구,30,37,100,77.3
5,신촌역_1,마포구,16,22,100,69.1
6,홍대입구역_1,마포구,14,43,100,67.9
7,홍대입구역_2,마포구,16,36,100,64.4
8,홍대입구역_3,마포구,22,32,100,64.7
9,홍익대학교,마포구,35,26,100,64.2
10,서대문역_1,종로구,16,24,100,67.9
11,서대문역_2,서대문구,14,24,100,68.6
12,신촌역_2,서대문구,24,22,100,79.3
13,이대역,서대문구,8,50,100,82.4
14,숙대입구역,용산구,16,17,85,46.7
15,신용산역,용산구,2,30,54,42.0
16,용산 전자상가_1,용산구,40,1,93,32.5
17,용산 전자상가_2,용산구,2,27,28,27.5
18,용산 전자상가_3,용산구,41,1,94,34.0
19,용산 전자상가_4,용산구,26,1,94,40.5
20,용산 전자상가_5,용산구,8,6,94,48.2
21,용산구청,용산구,31,4,100,43.8
22,이태원역,용산구,22,4,95,50.8
23,한남오거리,용산구,38,1,99,45.1
24,불광역_1,은평구,8,20,54,33.4
25,연신내역_1,은평구,8,41,100,77.0
26,연신내역_2,은평구,10,41,100,77.4
27,연신내역_3,은평구,8,41,100,77.0
28,경복궁역_1,종로구,20,12,100,81.8
29,경복궁역_2,종로구,10,36,100,80.1
30,광화문역_1,종로구,22,12,100,72.6
31,광화문역_2,종로구,39,13,100,80.8
32,동대문시장_1,종로구,36,15,100,64.0
33,동대문역_1,종로구,18,15,100,72.4
34,동대문역_2,종로구,39,15,100,66.1
35,안국역,종로구,16,14,72,49.6
36,인사동,종로구,44,14,100,64.4
37,종각역,종로구,33,22,100,71.2
38,종각역 젊음의거리,종로구,38,19,100,64.5
39,종로3가역_1,종로구,25,19,100,66.9
40,종로3가역_2,종로구,13,23,100,77.1
41,종로3가역_3,종로구,7,55,100,86.0
42,종로5가역_1,종로구,25,33,100,72.8
43,종로5가역_2,종로구,39,24,100,65.2
44,종로5가역_3,종로구,41,15,100,65.3
45,종로5가역_4,종로구,17,24,100,62.8
46,종로구청,종로구,66,13,100,69.5
47,종묘앞_1,종로구,13,33,100,76.5
48,종묘앞_2,종로구,9,41,100,76.2
49,종묘앞_3,종로구,13,55,100,75.9
50,혜화역 대학로_1,종로구,18,11,99,58.3
51,혜화역 대학로_2,종로구,22,11,99,57.0
52,혜화역 대학로_3,종로구,22,11,99,57.0
53,남대문시장,중구,49,4,90,43.0
54,동대문시장_2,중구,35,15,100,54.7
55,동대문역사문화공원역,중구,39,11,87,47.9
56,롯데백화점 본점,중구,59,3,85,46.1
57,명동,중구,72,0,92,41.2
58,명동역,중구,41,0,90,39.2
59,북창동,중구,53,3,90,44.6
60,서울시청,중구,58,7,100,57.7
61,시청역_1,중구,60,3,90,44.2
62,시청역_2,중구,46,3,100,50.4
63,신당역_1,중구,8,12,70,51.6
64,신당역_2,중구,31,12,97,61.4
65,약수역,중구,9,11,83,45.8
66,을지로3가역_1,중구,23,3,85,50.7
67,을지로3가역_2,중구,30,16,85,53.3
68,을지로4가역,중구,30,19,100,62.4
69,장충동 족발거리,중구,8,11,63,37.9
70,충무로역_1,중구,24,3,92,37.3
71,충무로역_2,중구,45,0,92,43.6
72,강서구청,강서구,38,10,100,65.6
73,발산역,강서구,9,34,100,66.9
74,송정역,강서구,20,1,100,58.6
75,가리봉시장(구로디지털오거리),구로구,34,10,100,54.2
76,가산디지털단지역_2,금천구,73,2,82,39.0
77,가산디지털단지역_3,금천구,58,10,100,49.4
78,개봉동 현대아파트,구로구,6,20,76,56.5
79,구로기계공구상_1,구로구,25,13,100,53.1
80,구로기계공구상_2,구로구,23,13,100,51.0
81,디지털단지오거리,구로구,34,10,100,54.2
82,구로역,구로구,21,1,71,31.7
83,구로중앙유통단지,구로구,20,34,100,87.9
