자치구,빈도정도,사직동
종로구,85.16,삼청동
종로구,45.41,부암동
종로구,27.78,평창동
종로구,69.59,무악동
종로구,53.07,교남동
종로구,72.2,가회동
종로구,51.56,종로1·2·3·4가동
종로구,67.49,종로5·6가동
종로구,75.34,이화동
종로구,41.87,창신제1동
종로구,93.89,창신제2동
종로구,28.57,창신제3동
종로구,75.4,숭인제1동
종로구,88.51,숭인제2동
종로구,40.31,청운효자동
종로구,49.16,혜화동
중구,45.43,소공동
중구,41.36,회현동
중구,46.08,명동
중구,24.89,필동
중구,37.64,장충동
중구,46.02,광희동
중구,47.64,을지로동
중구,51.71,신당제5동
중구,64.86,황학동
중구,53.76,중림동
중구,57.45,신당동
중구,28.44,다산동
중구,54.73,약수동
중구,58.91,청구동
중구,60.15,동화동
용산구,55.2,후암동
용산구,30.88,용산2가동
용산구,40.7,남영동
용산구,70.39,원효로2동
용산구,53.04,효창동
용산구,72.84,용문동
용산구,78.14,이촌1동
용산구,65.88,이촌2동
용산구,49.67,이태원1동
용산구,26.04,이태원2동
용산구,56.72,서빙고동
용산구,57.58,보광동
용산구,40.79,청파동
용산구,45.97,원효로1동
용산구,44.81,한강로동
용산구,33.26,한남동
성동구,44.01,왕십리2동
성동구,49.23,마장동
성동구,37.05,사근동
성동구,40.7,행당1동
성동구,48.52,행당2동
성동구,37.54,응봉동
성동구,51.98,금호1가동
성동구,51.33,금호4가동
성동구,56.51,성수1가1동
성동구,56.88,성수1가2동
성동구,77.82,성수2가1동
성동구,67.74,성수2가3동
성동구,59.63,송정동
성동구,34.6,용답동
성동구,61,왕십리도선동
성동구,57.58,금호2·3가동
성동구,57.95,옥수동
광진구,74.68,화양동
광진구,81,군자동
광진구,78.37,중곡1동
광진구,87.53,중곡2동
광진구,87.5,중곡3동
광진구,69.77,중곡4동
광진구,48.21,능동
광진구,90.13,구의1동
광진구,79.96,구의2동
광진구,50.43,구의3동
광진구,70.39,광장동
광진구,67.22,자양1동
광진구,65.6,자양2동
광진구,66.82,자양3동
광진구,82.13,자양4동
동대문구,70.58,회기동
동대문구,89.13,휘경1동
동대문구,54.19,휘경2동
동대문구,59.98,청량리동
동대문구,63.69,용신동
동대문구,60.86,제기동
동대문구,63.16,전농1동
동대문구,35.1,전농2동
동대문구,48.07,답십리2동
동대문구,37.34,장안1동
동대문구,39.51,장안2동
동대문구,56.81,이문1동
동대문구,43,이문2동
동대문구,48.47,답십리1동
중랑구,68.96,면목2동
중랑구,71.88,면목4동
중랑구,63.33,면목5동
중랑구,23.62,면목7동
중랑구,51.89,상봉1동
중랑구,87.15,상봉2동
중랑구,92.7,중화1동
중랑구,82,중화2동
중랑구,74.1,묵1동
중랑구,63.61,묵2동
중랑구,65.6,망우제3동
중랑구,65.62,신내1동
중랑구,48.33,신내2동
중랑구,65.06,면목본동
중랑구,49.06,면목3·8동
중랑구,66.7,망우본동
성북구,66.17,돈암1동
성북구,42.54,돈암2동
성북구,47.03,안암동
성북구,49.56,보문동
성북구,44.21,정릉1동
성북구,53.32,정릉2동
성북구,79.02,정릉3동
성북구,56.59,정릉4동
성북구,56.02,길음1동
성북구,80.92,길음2동
성북구,55.77,월곡1동
성북구,74.99,월곡2동
성북구,66.67,장위1동
성북구,70.46,장위2동
성북구,48.39,장위3동
성북구,44.58,성북동
성북구,60.02,삼선동
성북구,52.63,동선동
성북구,54.77,종암동
성북구,71.85,석관동
강북구,57.36,번1동
강북구,39.43,번2동
강북구,37.12,번3동
강북구,35.96,수유1동
강북구,54.24,수유2동
강북구,66.57,수유3동
강북구,50.93,삼양동
강북구,41.78,미아동
강북구,50.65,송중동
강북구,64.49,송천동
강북구,55.73,삼각산동
강북구,40.12,우이동
강북구,69.06,인수동
도봉구,39.32,쌍문1동
도봉구,60.55,쌍문2동
도봉구,58.32,쌍문3동
도봉구,62.44,쌍문4동
도봉구,50.68,방학1동
도봉구,70.24,방학2동
