사업장명,모집직종,고용형태,임금형태,임금,입사형태,사업장 주소,기업형태,담당기관
(주)파리크라상 라그릴리아 현대시티몰 가든파이브점,주방 보조원(일반 음식점),상용직,월급,2094180.0,무관,서울특별시 송파구 충민로 66 (문정동) 5층,대기업,서울동부지사
쿠팡 주식회사,건물 청소원(클린마스터),계약직,월급,1220000.0,무관,서울특별시 송파구 송파대로 570 타워730(신천동),대기업,서울동부지사
쿠팡 주식회사,환경 미화원,계약직,월급,1220000.0,무관,서울특별시 송파구 송파대로 570 타워730(신천동),대기업,서울동부지사
쿠팡 주식회사,기타 서비스 단순종사원,계약직,월급,1220000.0,무관,서울특별시 송파구 송파대로 570 타워730(신천동),대기업,서울동부지사
쿠팡 주식회사,환경·청소 관리자,계약직,월급,1220000.0,무관,서울특별시 송파구 송파대로 570 타워730(신천동),대기업,서울동부지사
(주)약진통상,총무 및 일반 사무원,계약직,시급,9860.0,무관,서울특별시 송파구 위례성대로 138 약진통상 빌딩,중소,서울동부지사
주식회사 뉴트리원,환경 미화원,상용직,월급,782100.0,무관,서울특별시 송파구 올림픽로 275-2 (신천동)12층,개인,서울동부지사
에이피알 커뮤니케이션즈,환경 미화원,계약직,시급,9860.0,무관,서울특별시 송파구 올림픽로 300 롯데월드타워 36층(신천동),중소,서울동부지사
쿠팡 주식회사,경영 기획 사무원,계약직,월급,2100000.0,무관,서울특별시 송파구 송파대로 570 타워730(신천동),대기업,서울동부지사
쿠팡풀필먼트서비스유한회사,모니터 요원,계약직,월급,1080000.0,무관,서울특별시 송파구 송파대로 570 (신천동) 타워730 8층,대기업,강원지사
쿠팡풀필먼트서비스유한회사,"데이터 및 자료 모니터 요원(기사, 뉴스 등 포함)",계약직,월급,1080000.0,무관,서울특별시 송파구 송파대로 570 (신천동) 타워730 8층,대기업,경기동부지사
쿠팡풀필먼트서비스유한회사,인사 사무원,계약직,월급,1030000.0,무관,서울특별시 송파구 송파대로 570 (신천동) 타워730 8층,대기업,경기지역본부
쿠팡풀필먼트서비스유한회사,총무 및 일반 사무원,계약직,월급,1030000.0,무관,서울특별시 송파구 송파대로 570 (신천동) 타워730 8층,대기업,서울동부지사
롯데컬처웍스(주),건물 청소원(클린마스터),계약직,시급,9620.0,무관,서울특별시 송파구 올림픽로 300 (신천동)27층,대기업,광주지역본부
