"자치구별(1)",자치구별(2),2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"자치구별(1)",자치구별(2),합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계
"자치구별(1)",자치구별(2),소계,소계,소계,매개시설,매개시설,매개시설,내부시설,내부시설,내부시설,위생시설,위생시설,위생시설,안내시설,안내시설,안내시설,기타시설,기타시설,기타시설,소계,소계,소계,매개시설,매개시설,매개시설,내부시설,내부시설,내부시설,위생시설,위생시설,위생시설,안내시설,안내시설,안내시설,기타시설,기타시설,기타시설,소계,소계,소계,매개시설,매개시설,매개시설,내부시설,내부시설,내부시설,위생시설,위생시설,위생시설,안내시설,안내시설,안내시설,기타시설,기타시설,기타시설
"자치구별(1)",자치구별(2),대상 (개),설치 (개),설치율 (%),대상 (개),설치 (개),설치율 (%),대상 (개),설치 (개),설치율 (%),대상 (개),설치 (개),설치율 (%),대상 (개),설치 (개),설치율 (%),대상 (개),설치 (개),설치율 (%),대상 (개),설치 (개),설치율 (%),대상 (개),설치 (개),설치율 (%),대상 (개),설치 (개),설치율 (%),대상 (개),설치 (개),설치율 (%),대상 (개),설치 (개),설치율 (%),대상 (개),설치 (개),설치율 (%),대상 (개),설치 (개),설치율 (%),대상 (개),설치 (개),설치율 (%),대상 (개),설치 (개),설치율 (%),대상 (개),설치 (개),설치율 (%),대상 (개),설치 (개),설치율 (%),대상 (개),설치 (개),설치율 (%)
"합계",소계,97647,96969,99.31,30977,30819,99.49,47674,47511,99.66,16482,16236,98.51,1384,1368,98.84,1130,1035,91.59,90643,89958,99.24,28092,27925,99.41,42676,42487,99.56,17518,17227,98.34,1506,1499,99.54,851,820,96.36,89393,88677,99.20,27444,27319,99.54,44325,44212,99.75,15479,15105,97.58,1584,1549,97.79,493,455,92.29
"합계",종로구,3636,3576,98.35,971,962,99.07,1549,1530,98.77,865,854,98.73,108,106,98.15,143,124,86.71,3115,3059,98.20,751,743,98.93,1367,1347,98.54,770,743,96.49,114,114,100.00,113,112,99.12,2422,2413,99.63,714,714,100.00,1008,1004,99.60,593,588,99.16,75,75,100.00,32,32,100.00
"합계",중구,2716,2698,99.34,801,798,99.63,1258,1255,99.76,454,447,98.46,58,58,100.00,145,140,96.55,3182,3146,98.87,753,753,100.00,1388,1387,99.93,731,699,95.62,157,157,100.00,153,150,98.04,3318,3265,98.40,807,784,97.15,1525,1519,99.61,818,802,98.04,75,72,96.00,88,85,96.59
"합계",용산구,2041,2020,98.97,733,717,97.82,977,972,99.49,301,301,100.00,23,23,100.00,7,7,100.00,1956,1956,100.00,686,686,100.00,924,924,100.00,300,300,100.00,20,20,100.00,26,26,100.00,2827,2817,99.65,951,947,99.58,1332,1332,100.00,488,486,99.59,32,32,100.00,16,16,100.00
"합계",성동구,2096,2089,99.67,558,558,100.00,877,875,99.77,581,576,99.14,45,45,100.00,35,35,100.00,2976,2931,98.49,689,684,99.27,1287,1260,97.90,916,909,99.24,62,62,100.00,22,16,72.73,2148,2057,95.76,608,595,97.86,954,941,98.64,532,478,89.85,53,43,81.13,0,0,-
"합계",광진구,4843,4820,99.53,1294,1294,100.00,3075,3074,99.97,447,425,95.08,24,24,100.00,3,3,100.00,2410,2347,97.39,1250,1235,98.80,1123,1075,95.73,37,37,100.00,-,-,-,-,-,-,3611,3603,99.78,1165,1165,100.00,1970,1970,100.00,419,411,98.09,31,31,100.00,14,14,100.00
"합계",동대문구,6242,6217,99.60,1712,1710,99.88,3495,3495,100.00,898,887,98.78,55,48,87.27,82,77,93.90,2969,2956,99.56,855,844,98.71,1461,1459,99.86,586,586,100.00,35,35,100.00,32,32,100.00,2542,2533,99.65,696,689,98.99,1266,1266,100.00,560,558,99.64,20,20,100.00,0,0,-
