자치구,경도,위도,장애인구수,평균 도로혼잡도,주차장,복지시설,과태료건수,부과액,평균차량빈도,장애인고용자수
강동구,127.1533339,37.54850967,18785,55.9,15517,51,2307,184200000,62.1,310
송파구,127.1241915,37.49706019,20571,52.8,22745,50,4656,409090000,52.1,764
강남구,127.0750196,37.4879023,15158,44.6,20566,56,6135,546904200,56.1,1211
서초구,127.0391956,37.46404751,10158,48.6,14690,30,3257,269840000,54.8,608
관악구,126.9459035,37.46478848,20228,48.6,20446,25,1776,152020000,40.2,235
동작구,126.9488019,37.49500585,14317,36.7,8769,21,1982,161890000,51.7,152
영등포구,126.9087296,37.51860088,14654,47.7,10105,22,4902,451500000,48.8,811
금천구,126.9036545,37.45785667,11615,54,9209,23,2208,208510000,55.4,434
구로구,126.8550468,37.49145073,18520,54.3,9692,25,2355,209330000,56,381
강서구,126.818969,37.55771122,28508,63.7,17639,59,5443,447509000,55.1,340
양천구,126.8554037,37.52191411,17621,43.5,11017,24,1977,171680000,42.3,201
마포구,126.9124479,37.56108132,12904,63.6,13162,24,3096,269650000,72.8,588
서대문구,126.9429741,37.57985991,12348,76.8,10496,19,1245,124500000,65.7,227
은평구,126.9271214,37.61351382,21732,66.2,18263,39,1220,108620000,63.6,115
노원구,127.080656,37.65040737,26696,68.7,6024,58,2521,201200000,60.8,375
도봉구,127.033282,37.66855048,15345,49.3,9868,24,1948,169470000,53.4,211
강북구,127.0124267,37.64282716,17186,57.9,11645,30,1745,148504000,51,131
성북구,127.0195192,37.60527741,17471,51.1,9503,10,1336,114600000,58.8,310
중랑구,127.0985928,37.59571991,20279,52.2,13251,14,1573,132493000,65,308
동대문구,127.0569134,37.58459919,15481,49.6,10080,9,5432,448580000,55,204
광진구,127.0939814,37.54897061,12183,68.5,17450,15,1594,133660000,73.3,280
성동구,127.0359841,37.5510883,11092,34,6711,15,2264,195190000,52.4,374
용산구,126.9842049,37.53437242,7621,41.1,7383,12,1438,138260000,51.4,218
중구,126.9962915,37.55526441,5552,48.1,4269,11,2154,185440000,47.9,662
종로구,126.9815547,37.59469235,5834,69.3,8232,13,892,75000260,60.3,518
