x,y,width,height,image_path
276,103,196,196,face_0.png
276,103,196,196,pngwing.com.png
306,216,151,151,face_1.png
306,216,151,151,pngwing.com.png
262,151,216,216,face_2.png
262,151,216,216,pngwing.com.png
259,144,226,226,face_3.png
259,144,226,226,pngwing.com.png
251,129,238,238,face_4.png
251,129,238,238,pngwing.com.png
245,234,226,226,face_5.png
245,234,226,226,pngwing.com.png
244,190,206,206,face_6.png
244,190,206,206,pngwing.com.png
273,114,196,196,face_7.png
273,114,196,196,pngwing.com.png
284,119,183,183,face_8.png
284,119,183,183,pngwing.com.png
269,100,213,213,face_9.png
269,100,213,213,pngwing.com.png
273,112,204,204,face_10.png
273,112,204,204,pngwing.com.png
266,107,216,216,face_11.png
266,107,216,216,pngwing.com.png
268,110,206,206,face_12.png
268,110,206,206,pngwing.com.png
266,106,206,206,face_13.png
266,106,206,206,pngwing.com.png
273,108,203,203,face_14.png
273,108,203,203,pngwing.com.png
276,110,196,196,face_15.png
276,110,196,196,pngwing.com.png
273,102,196,196,face_16.png
273,102,196,196,pngwing.com.png
275,106,188,188,face_17.png
275,106,188,188,pngwing.com.png
271,98,203,203,face_18.png
271,98,203,203,pngwing.com.png
266,89,214,214,face_19.png
266,89,214,214,pngwing.com.png
269,95,204,204,face_20.png
269,95,204,204,pngwing.com.png
266,94,206,206,face_21.png
266,94,206,206,pngwing.com.png
264,89,213,213,face_22.png
264,89,213,213,pngwing.com.png
264,89,213,213,face_23.png
264,89,213,213,pngwing.com.png
279,97,196,196,face_24.png
279,97,196,196,pngwing.com.png
260,117,196,196,face_25.png
260,117,196,196,pngwing.com.png
264,128,196,196,face_26.png
264,128,196,196,pngwing.com.png
264,137,196,196,face_27.png
264,137,196,196,pngwing.com.png
261,159,196,196,face_28.png
261,159,196,196,pngwing.com.png
253,131,166,166,face_29.png
253,131,166,166,pngwing.com.png
227,146,216,216,face_30.png
227,146,216,216,pngwing.com.png
242,171,196,196,face_31.png
242,171,196,196,pngwing.com.png
261,313,94,94,face_32.png
261,313,94,94,pngwing.com.png
257,141,160,160,face_33.png
257,141,160,160,pngwing.com.png
266,144,160,160,face_34.png
266,144,160,160,pngwing.com.png
258,142,177,177,face_35.png
258,142,177,177,pngwing.com.png
269,149,164,164,face_36.png
269,149,164,164,pngwing.com.png
252,138,203,203,face_37.png
252,138,203,203,pngwing.com.png
249,147,196,196,face_38.png
249,147,196,196,pngwing.com.png
257,150,196,196,face_39.png
257,150,196,196,pngwing.com.png
246,133,213,213,face_40.png
246,133,213,213,pngwing.com.png
252,142,196,196,face_41.png
252,142,196,196,pngwing.com.png
