"주차장관리번호",주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,장애인전용주차구역보유여부,데이터기준일자
102-2-000001,신창동,공영,노외,서울특별시 용산구 원효로35길 53,서울특별시 용산구 신창동 53-1,109,3,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,150,5,150,,,140000,현금+신용카드,경차+저공해자동차 50프로 할인+장애인 및 국가유공자 차량 80프로 할인,용산구시설관리공단,02-749-5314,37.5352563,126.9552031,Y,2023-12-06
102-2-000002,한남유수지,공영,노외,서울특별시 용산구 독서당로 18,서울특별시 용산구 한남동 522-44,124,3,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,150,5,150,,,120000,현금+신용카드,경차+저공해자동차 50프로 할인+장애인 및 국가유공자 차량 80프로 할인,용산구시설관리공단,02-749-5314,37.53001857,127.007355,Y,2023-12-06
102-2-000003,한남동,공영,노외,서울특별시 용산구 이태원로 224-19,서울특별시 용산구 한남동 685-46 외 2,250,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,250,5,250,,,180000,현금+신용카드,경차+저공해자동차 50프로 할인+장애인 및 국가유공자 차량 80프로 할인,용산구시설관리공단,02-749-5314,37.53485709,127.0002687,Y,2023-12-06
102-2-000004,이태원2동,공영,노외,서울특별시 용산구 회나무로 55,서울특별시 용산구 이태원동 227-9,111,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,250,5,250,,,160000,현금+신용카드,경차+저공해자동차 50프로 할인+장애인 및 국가유공자 차량 80프로 할인,용산구시설관리공단,02-749-5314,37.54047812,126.9927159,Y,2023-12-06
102-2-000005,용산2가동 기계식,공영,노외,서울특별시 용산구 신흥로2길 74,서울특별시 용산구 용산동2가 47-2,54,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,250,5,250,,,180000,현금+신용카드,경차+저공해자동차 50프로 할인+장애인 및 국가유공자 차량 80프로 할인,용산구시설관리공단,02-749-5314,37.5430004,126.9880824,Y,2023-12-06
102-2-000006,용산전자상가1,공영,노외,서울특별시 용산구 한강로3가 12,서울특별시 용산구 한강로3가 12외5,202,2,미시행,평일+토요일+공휴일,08:00,22:00,08:00,22:00,08:00,22:00,혼합,5,250,5,250,14,21000,130000,현금+신용카드,경차+저공해자동차 50프로 할인+장애인 및 국가유공자 차량 80프로 할인,용산구시설관리공단,02-749-5314,37.53203976,126.9647712,Y,2023-12-06
102-2-000007,용산전자상가2,공영,노외,서울특별시 용산구 한강로3가 14-1,서울특별시 용산구 한강로3가 14-1외2,196,2,미시행,평일+토요일+공휴일,08:00,22:00,08:00,22:00,08:00,22:00,혼합,5,250,5,250,14,21000,130000,현금+신용카드,경차+저공해자동차 50프로 할인+장애인 및 국가유공자 차량 80프로 할인,용산구시설관리공단,02-749-5314,37.5326215,126.9631106,Y,2023-12-06
102-2-000008,용산전자상가3,공영,노외,서울특별시 용산구 한강로3가 19-2,서울특별시 용산구 한강로3가 19-2외3,167,2,미시행,평일+토요일+공휴일,08:00,22:00,08:00,22:00,08:00,22:00,혼합,5,250,5,250,14,21000,130000,현금+신용카드,경차+저공해자동차 50프로 할인+장애인 및 국가유공자 차량 80프로 할인,용산구시설관리공단,02-749-5314,37.5325369,126.9603363,Y,2023-12-06
102-2-000009,용산전자상가4,공영,노외,서울특별시 용산구 원효로3가 51-5,서울특별시 용산구 원효로3가 51-5,114,2,미시행,평일+토요일,08:00,22:00,08:00,22:00,00:00,00:00,혼합,5,250,5,250,14,21000,130000,현금+신용카드,경차+저공해자동차 50프로 할인+장애인 및 국가유공자 차량 80프로 할인+일요일+공휴일 무료개방,용산구시설관리공단,02-749-5314,37.5338443,126.9603066,Y,2023-12-06
102-2-000010,용산전자상가5,공영,노외,서울특별시 용산구 한강로3가 2-1,서울특별시 용산구 한강로3가 2-1외2,42,2,미시행,평일+토요일,08:00,22:00,08:00,22:00,00:00,00:00,혼합,5,250,5,250,14,21000,130000,현금+신용카드,경차+저공해자동차 50프로 할인+장애인 및 국가유공자 차량 80프로 할인+일요일+공휴일 무료개방,용산구시설관리공단,02-749-5314,37.53381211,126.9634197,Y,2023-12-06
102-2-000011,서계동,공영,노외,서울특별시 용산구 효창원로104가길 16,서울특별시 용산구 서계동 276-5,36,3,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,150,5,150,,,140000,현금+신용카드,경차+저공해자동차 50프로 할인+장애인 및 국가유공자 차량 80프로 할인,용산구시설관리공단,02-749-5314,37.5516134,126.9643647,Y,2023-12-06
102-2-000012,용산2가(소월),공영,노외,서울특별시 용산구 신흥로 90,서울특별시 용산구 용산동2가 11,60,3,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,150,5,150,,,140000,현금+신용카드,경차+저공해자동차 50프로 할인+장애인 및 국가유공자 차량 80프로 할인,용산구시설관리공단,02-749-5314,37.54607483,126.9855706,Y,2023-12-06
102-2-000013,용문동,공영,노외,서울특별시 용산구 새창로12길 13,서울특별시 용산구 도원동 4-5,39,3,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,150,5,150,,,98000,현금+신용카드,경차+저공해자동차 50프로 할인+장애인 및 국가유공자 차량 80프로 할인,용산구시설관리공단,02-749-5314,37.5389156,126.9575712,Y,2023-12-06
102-2-000014,청파동 1마을공원,공영,노외,서울특별시 용산구 원효로97길 50,서울특별시 용산구 청파동3가 118-102,105,3,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,150,5,150,,,98000,현금+신용카드,경차+저공해자동차 50프로 할인+장애인 및 국가유공자 차량 80프로 할인,용산구시설관리공단,02-749-5314,37.5427848,126.9685904,Y,2023-12-06
102-2-000015,청파동청사,공영,노외,서울특별시 용산구 청파로49길 6,서울특별시 용산구 청파동2가 91-1,32,3,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,150,5,150,,,98000,현금+신용카드,경차+저공해자동차 50프로 할인+장애인 및 국가유공자 차량 80프로 할인,용산구시설관리공단,02-749-5314,37.5454353,126.9698684,Y,2023-12-06
102-2-000016,후암동,공영,노외,서울특별시 용산구 후암로35길 23,서울특별시 용산구 후암동 65-4,39,3,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,150,5,150,,,140000,현금+신용카드,경차+저공해자동차 50프로 할인+장애인 및 국가유공자 차량 80프로 할인,용산구시설관리공단,02-749-5314,37.55042378,126.976155,Y,2023-12-06
102-1-000017,삼각지역,공영,노상,서울특별시 용산구 한강로1가 138,서울특별시 용산구 한강로1가 138,12,2,미시행,평일+토요일,11:30,21:30,11:30,17:30,00:00,00:00,혼합,5,250,5,250,,,,현금+신용카드,경차+저공해자동차 50프로 할인+장애인 및 국가유공자 차량 80프로 할인+일요일+공휴일 무료개방,용산구시설관리공단,02-749-5314,37.53349759,126.973586,N,2023-12-06
